person,group
Condy.JamesFoster,LondonEnemies
Davis.Caleb,LondonEnemies
Davis.Edward,LondonEnemies
Davis.William,LondonEnemies
Eayres.Joseph,LondonEnemies
Foster.Bos,LondonEnemies
Gill.Moses,LondonEnemies
Grant.Moses,LondonEnemies
Greenleaf.Joseph,LondonEnemies
Greenleaf.William,LondonEnemies
Greenough.Newn,LondonEnemies
Hancock.Eben,LondonEnemies
Hancock.John,LondonEnemies
Hopkins.Caleb,LondonEnemies
Isaac.Pierce,LondonEnemies
Ivers.James,LondonEnemies
Jarvis.Charles,LondonEnemies
Johnston.Eben,LondonEnemies
Marshall.Thomas,LondonEnemies
Marson.John,LondonEnemies
Mason.Jonathan,LondonEnemies
Noyces.Nat,LondonEnemies
Parkman.Elias,LondonEnemies
Partridge.Sam,LondonEnemies
Phillips.William,LondonEnemies
Pitts.John,LondonEnemies
Pitts.Samuel,LondonEnemies
Powell.William,LondonEnemies
Prince.Job,LondonEnemies
Proctor.Edward,LondonEnemies
Pulling.John,LondonEnemies
Revere.Paul,LondonEnemies
Roylson.Thomas,LondonEnemies
Ruddock.Abiel,LondonEnemies
Vernon.Fortesque,LondonEnemies
Waldo.Benjamin,LondonEnemies
Warren.Joseph,LondonEnemies
Wendell.Oliver,LondonEnemies
Whitwell.Samuel,LondonEnemies
Whitwell.William,LondonEnemies
Williams.Jonathan,LondonEnemies
Winthrop.John,LondonEnemies
