name,gender_guess,label
"Clarke, Mary G.",female,NA
"Clarke, William Travis",male,NA
"Clarkson, Thomas",male,NA
"Cleveland, Charles D.",male,NA
"Coates, Edwin H.",male,NA
"Coates, William.",male,NA
"Cobb, Moses.",male,NA
"Cobb, Samuel C.",male,NA
"Cobb, William N.",male,NA
"Cochin, Augustin",male,NA
"Cochran, Euphemia.",female,NA
"Coffin, Joshua",male,NA
"Cogan, Sarah.",female,NA
"Colburn, Lizzie S.",female,NA
"Colesworthy, D. C.",male,NA
"Colfax, Richard H.",male,NA
"Collings, Edward J.",male,NA
"Collingswood, C. S.",male,NA
"Collins, Eunice Messenger.",female,NA
"Collins, John A.",male,NA
"Colman, Mary H.",female,NA
"Colthurst, John Bowen.",male,NA
"Conway, M. F.",female,NA
"Conway, Moncure Daniel",male,NA
"Cookman, George G.",male,NA
"Cooley, Aaron.",male,NA
"Coombs, Edwin.",male,NA
"Cooper, Joseph",male,NA
"Coulter, J. H.",male,NA
"Cowen, Joseph",male,NA
"Cowing, Lucretia Ann",female,NA
"Cowings, Benjamin.",male,NA
"Cox, Hannah Pierce",female,NA
"Cox, Lydia Elizabeth",female,NA
"Cox, Samuel H.",male,NA
"Craft, William",male,NA
"Craft, William.",male,NA
"Crandal, William L.",male,NA
"Crocker, Lucretia",female,NA
"Cropper, Anne.",female,NA
"Cropper, James",male,NA
"Crosfield, Eliza W.",female,NA
"Crosfield, William.",male,NA
"Crowl, Lyman.",male,NA
"Crummell, Alexander",male,NA
"Cummings, Amos.",male,NA
"Cummins, Jos.",male,NA
"Curtis, George William",male,NA
"Curtis, Marian A.",female,NA
"Curtis, Thomas.",male,NA
"Cushing, Caleb",male,NA
"Cutler, John B.",male,NA
"Dana, Jonathan W.",male,NA
"Danforth, C. B.",male,NA
"Danielson, Joseph.",male,NA
"Davies, Ebenezer",male,NA
"Davis, Andrew Jackson",male,NA
"Davis, Catherine DeWolf Dodge",female,NA
"Davis, Charlotte.",female,NA
"Davis, Edward Morris",male,NA
"Davis, James C.",male,NA
"Davis, Paulina W.",female,NA
"Davis, Thomas",male,NA
"Davison, Henry W.",male,NA
"De Charms, Richard",male,NA
"DeGraw, Mary.",female,NA
"Deland, W. L.",male,NA
"Delany, Martin Robison",male,NA
"Denison, Charles Wheeler",male,NA
"Dennis, Rodney.",male,NA
"Denton, Elizabeth M. Foote.",female,NA
"Dewey, Loring Daniel",male,NA
"Diaz, Abby Morton",female,NA
"Dicey, Anne Greene Chapman",female,NA
"Dick, John.",male,NA
"Dickinson, Anna E.",female,NA
"Dickson, Moses",male,NA
"Dickson, William.",male,NA
"Digby, J.",male,NA
"Diggs, B. F.",male,NA
"Dodge, J. C.",male,NA
"Donaldson, Christian.",male,NA
"Donaldson, Thomas.",male,NA
"Doolittle, Alvan.",male,NA
"Dorval, T. F. Dorvelas.",male,NA
"Doughty, George.",male,NA
"Douglass, Frederick",male,"Douglass, Frederick"
"Dow, Frederick Neal",male,NA
"Dow, Neal",male,NA
"Downes, B. R.",male,NA
"Downie, William.",male,NA
"Downing, George T.",male,NA
"Doy, John",male,NA
"Drake, Frances H.",female,NA
"Drake, Horatio N.",male,NA
"Drake, Jonathan.",male,NA
"Drew, Thomas.",male,NA
"Drummond, James.",male,NA
"Dubouchage, Gabriel",male,NA
"Dugdale, Joseph A.",male,NA
"Dugdale, Ruth.",female,NA
"Dumont, A.",male,NA
"Dunlop, John.",male,NA
"Dutton, David",male,NA
"Dwarris, Fortunatus",NA,NA
"Dyer, Samuel.",male,NA
"Earle, Lucy.",female,NA
"Earle, Sarah Hussey",female,NA
"Earle, Thomas",male,NA
"Eastman, Samuel B.",male,NA
"Eastman, Zebina",male,NA
"Eddison, Eliza.",female,NA
"Eddy, Eliza Frances Jackson Meriam",female,NA
"Eddy, Mary B.",female,NA
"Eddy, Mary C.",female,NA
"Eddy, W.",male,NA
"Edmond, Robert.",male,NA
"Eliot, William Greenleaf",male,NA
Elizabeth.,female,NA
"Elmy, Benjamin Wolstenholme.",male,NA
"Emerson, Gertrude F.",female,NA
"Emerson, John F.",male,NA
"Emerson, John.",male,NA
"Emerson, Lidian Jackson",female,NA
"Emerson, Ralph Waldo",male,NA
"Endicott, William",male,NA
"Ernst, A. H.",male,NA
"Ernst, Sarah Otis",female,NA
"Estcourt, John H.",male,NA
"Estlin, J. B.",male,NA
"Estlin, Mary Anne",female,NA
"Estwick, Samuel",male,NA
"Evans, A. R.",male,NA
"Evans, Estwick",NA,NA
"Evans, Nathan.",male,NA
"Everett, Joshua Titus",male,NA
"Fairbank, Calvin",male,NA
"Fairbanks, Asa",male,NA
